TEST: valid loss  3.16 | valid ppl    23.54
TEST: valid loss  3.22 | valid ppl    25.11
| end of split   1 /  1 | epoch  85 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  86 | time:  0.99s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  87 | time:  0.91s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  88 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  89 | time:  0.97s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  90 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  91 | time:  0.91s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  92 | time:  0.91s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  93 | time:  0.97s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0010
| end of split   1 /  1 | epoch  94 | time:  0.94s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch  95 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch  96 | time:  0.97s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch  97 | time:  0.99s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch  98 | time:  0.94s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch  99 | time:  0.97s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch 100 | time:  0.95s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch 101 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch 102 | time:  1.07s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch 103 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch 104 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0002
| end of split   1 /  1 | epoch 105 | time:  1.02s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 106 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 107 | time:  0.96s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 108 | time:  0.96s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 109 | time:  1.02s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 110 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 111 | time:  0.95s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 112 | time:  1.05s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 113 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 114 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 115 | time:  0.95s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0001
| end of split   1 /  1 | epoch 116 | time:  0.97s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0000
| end of split   1 /  1 | epoch 117 | time:  0.91s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0000
| end of split   1 /  1 | epoch 118 | time:  1.16s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0000
| end of split   1 /  1 | epoch 119 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0000
| end of split   1 /  1 | epoch 120 | time:  0.92s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0000
TEST: valid loss  2.05 | valid ppl     7.75
| end of split   1 /  1 | epoch   1 | time:  3.52s | valid loss  3.16 | valid ppl    23.46 | learning rate 20.0000
TEST: valid loss  2.86 | valid ppl    17.43
TEST: valid loss  2.37 | valid ppl    10.66
