| end of split   1 /  1 | epoch   9 | time:  0.68s | valid loss  5.57 | valid ppl   263.12 | learning rate 0.5000
| end of split   1 /  1 | epoch  10 | time:  0.68s | valid loss  5.59 | valid ppl   268.25 | learning rate 0.5000
| end of split   1 /  1 | epoch  11 | time:  0.68s | valid loss  5.60 | valid ppl   269.48 | learning rate 0.5000
| end of split   1 /  1 | epoch  12 | time:  0.64s | valid loss  5.62 | valid ppl   276.93 | learning rate 0.5000
| end of split   1 /  1 | epoch  13 | time:  0.62s | valid loss  5.60 | valid ppl   269.78 | learning rate 0.5000
| end of split   1 /  1 | epoch  14 | time:  0.61s | valid loss  5.62 | valid ppl   274.66 | learning rate 0.5000
| end of split   1 /  1 | epoch  15 | time:  0.61s | valid loss  5.61 | valid ppl   273.51 | learning rate 0.5000
| end of split   1 /  1 | epoch  16 | time:  0.61s | valid loss  5.62 | valid ppl   276.35 | learning rate 0.5000
| end of split   1 /  1 | epoch  17 | time:  0.61s | valid loss  5.60 | valid ppl   271.34 | learning rate 0.1250
| end of split   1 /  1 | epoch  18 | time:  0.61s | valid loss  5.61 | valid ppl   272.25 | learning rate 0.1250
| end of split   1 /  1 | epoch  19 | time:  0.61s | valid loss  5.60 | valid ppl   269.82 | learning rate 0.1250
| end of split   1 /  1 | epoch  20 | time:  0.69s | valid loss  5.60 | valid ppl   271.50 | learning rate 0.1250
| end of split   1 /  1 | epoch  21 | time:  0.63s | valid loss  5.60 | valid ppl   271.59 | learning rate 0.1250
| end of split   1 /  1 | epoch  22 | time:  0.70s | valid loss  5.61 | valid ppl   271.87 | learning rate 0.1250
| end of split   1 /  1 | epoch  23 | time:  0.71s | valid loss  5.61 | valid ppl   274.18 | learning rate 0.1250
| end of split   1 /  1 | epoch  24 | time:  0.60s | valid loss  5.61 | valid ppl   274.43 | learning rate 0.1250
| end of split   1 /  1 | epoch  25 | time:  0.60s | valid loss  5.61 | valid ppl   274.02 | learning rate 0.1250
| end of split   1 /  1 | epoch  26 | time:  0.69s | valid loss  5.61 | valid ppl   274.35 | learning rate 0.1250
| end of split   1 /  1 | epoch  27 | time:  0.69s | valid loss  5.61 | valid ppl   274.05 | learning rate 0.1250
| end of split   1 /  1 | epoch  28 | time:  0.60s | valid loss  5.61 | valid ppl   274.12 | learning rate 0.0312
| end of split   1 /  1 | epoch  29 | time:  0.60s | valid loss  5.61 | valid ppl   273.81 | learning rate 0.0312
| end of split   1 /  1 | epoch  30 | time:  0.69s | valid loss  5.61 | valid ppl   273.83 | learning rate 0.0312
TEST: valid loss  5.20 | valid ppl   180.56
TEST: valid loss  2.60 | valid ppl    13.47
| end of split   1 /  1 | epoch   1 | time: 132.78s | valid loss  2.71 | valid ppl    15.01 | learning rate 20.0000
