| end of split   1 /  1 | epoch  76 | time:  0.81s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  77 | time:  0.81s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  78 | time:  0.87s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  79 | time:  0.97s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  80 | time:  0.80s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  81 | time:  0.94s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  82 | time:  0.88s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  83 | time:  0.81s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  84 | time:  0.78s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  85 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  86 | time:  0.99s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0039
| end of split   1 /  1 | epoch  87 | time:  0.98s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  88 | time:  0.87s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  89 | time:  0.86s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  90 | time:  0.80s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  91 | time:  0.80s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  92 | time:  0.90s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  93 | time:  1.10s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
