| end of split   7 /  7 | epoch  11 | time:  0.60s | valid loss  6.19 | valid ppl   488.31 | learning rate 0.0195
| end of split   1 /  7 | epoch  12 | time:  0.63s | valid loss  6.19 | valid ppl   488.31 | learning rate 0.0049
| end of split   2 /  7 | epoch  12 | time:  0.60s | valid loss  6.19 | valid ppl   488.34 | learning rate 0.0049
| end of split   3 /  7 | epoch  12 | time:  0.59s | valid loss  6.19 | valid ppl   488.34 | learning rate 0.0049
| end of split   4 /  7 | epoch  12 | time:  0.59s | valid loss  6.19 | valid ppl   488.34 | learning rate 0.0049
| end of split   5 /  7 | epoch  12 | time:  0.59s | valid loss  6.19 | valid ppl   488.34 | learning rate 0.0049
| end of split   6 /  7 | epoch  12 | time:  0.59s | valid loss  6.19 | valid ppl   488.34 | learning rate 0.0049
| end of split   7 /  7 | epoch  12 | time:  0.60s | valid loss  6.19 | valid ppl   488.38 | learning rate 0.0049
| end of split   1 /  7 | epoch  13 | time:  0.61s | valid loss  6.19 | valid ppl   488.40 | learning rate 0.0049
| end of split   2 /  7 | epoch  13 | time:  0.60s | valid loss  6.19 | valid ppl   488.40 | learning rate 0.0049
| end of split   3 /  7 | epoch  13 | time:  0.60s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0049
| end of split   4 /  7 | epoch  13 | time:  0.58s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0049
| end of split   5 /  7 | epoch  13 | time:  0.59s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0012
| end of split   6 /  7 | epoch  13 | time:  1.21s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0012
| end of split   7 /  7 | epoch  13 | time:  0.59s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0012
| end of split   1 /  7 | epoch  14 | time:  0.59s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0012
| end of split   2 /  7 | epoch  14 | time:  0.58s | valid loss  6.19 | valid ppl   488.42 | learning rate 0.0012
| end of split   3 /  7 | epoch  14 | time:  0.60s | valid loss  6.19 | valid ppl   488.43 | learning rate 0.0012
| end of split   4 /  7 | epoch  14 | time:  0.59s | valid loss  6.19 | valid ppl   488.43 | learning rate 0.0012
| end of split   5 /  7 | epoch  14 | time:  0.60s | valid loss  6.19 | valid ppl   488.43 | learning rate 0.0012
| end of split   6 /  7 | epoch  14 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0012
| end of split   7 /  7 | epoch  14 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0012
| end of split   1 /  7 | epoch  15 | time:  0.62s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0012
| end of split   2 /  7 | epoch  15 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   3 /  7 | epoch  15 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   4 /  7 | epoch  15 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   5 /  7 | epoch  15 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   6 /  7 | epoch  15 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   7 /  7 | epoch  15 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   1 /  7 | epoch  16 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   2 /  7 | epoch  16 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   3 /  7 | epoch  16 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   4 /  7 | epoch  16 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   5 /  7 | epoch  16 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0003
| end of split   6 /  7 | epoch  16 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   7 /  7 | epoch  16 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   1 /  7 | epoch  17 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   2 /  7 | epoch  17 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   3 /  7 | epoch  17 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   4 /  7 | epoch  17 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   5 /  7 | epoch  17 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   6 /  7 | epoch  17 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   7 /  7 | epoch  17 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   1 /  7 | epoch  18 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   2 /  7 | epoch  18 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0001
| end of split   3 /  7 | epoch  18 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   4 /  7 | epoch  18 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   5 /  7 | epoch  18 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   6 /  7 | epoch  18 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   7 /  7 | epoch  18 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   1 /  7 | epoch  19 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   2 /  7 | epoch  19 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   3 /  7 | epoch  19 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   4 /  7 | epoch  19 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   5 /  7 | epoch  19 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   6 /  7 | epoch  19 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   7 /  7 | epoch  19 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   1 /  7 | epoch  20 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   2 /  7 | epoch  20 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   3 /  7 | epoch  20 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   4 /  7 | epoch  20 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   5 /  7 | epoch  20 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   6 /  7 | epoch  20 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   7 /  7 | epoch  20 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   1 /  7 | epoch  21 | time:  0.69s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   2 /  7 | epoch  21 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   3 /  7 | epoch  21 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   4 /  7 | epoch  21 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
