| end of split   3 /  3 | epoch  24 | time:  0.80s | valid loss  6.74 | valid ppl   842.15 | learning rate 1.2500
| end of split   1 /  3 | epoch  25 | time:  0.83s | valid loss  6.74 | valid ppl   846.13 | learning rate 0.3125
| end of split   2 /  3 | epoch  25 | time:  0.81s | valid loss  6.75 | valid ppl   854.33 | learning rate 0.3125
| end of split   3 /  3 | epoch  25 | time:  0.87s | valid loss  6.75 | valid ppl   851.05 | learning rate 0.3125
| end of split   1 /  3 | epoch  26 | time:  0.81s | valid loss  6.75 | valid ppl   855.17 | learning rate 0.3125
| end of split   2 /  3 | epoch  26 | time:  1.03s | valid loss  6.75 | valid ppl   853.98 | learning rate 0.3125
| end of split   3 /  3 | epoch  26 | time:  0.99s | valid loss  6.75 | valid ppl   857.95 | learning rate 0.3125
| end of split   1 /  3 | epoch  27 | time:  0.81s | valid loss  6.76 | valid ppl   862.01 | learning rate 0.3125
| end of split   2 /  3 | epoch  27 | time:  0.84s | valid loss  6.76 | valid ppl   863.22 | learning rate 0.3125
| end of split   3 /  3 | epoch  27 | time:  0.88s | valid loss  6.76 | valid ppl   865.08 | learning rate 0.3125
| end of split   1 /  3 | epoch  28 | time:  0.81s | valid loss  6.77 | valid ppl   872.16 | learning rate 0.3125
| end of split   2 /  3 | epoch  28 | time:  0.83s | valid loss  6.78 | valid ppl   876.15 | learning rate 0.3125
| end of split   3 /  3 | epoch  28 | time:  0.80s | valid loss  6.78 | valid ppl   876.82 | learning rate 0.0781
| end of split   1 /  3 | epoch  29 | time:  0.82s | valid loss  6.78 | valid ppl   878.02 | learning rate 0.0781
| end of split   2 /  3 | epoch  29 | time:  0.85s | valid loss  6.78 | valid ppl   877.67 | learning rate 0.0781
| end of split   3 /  3 | epoch  29 | time:  0.81s | valid loss  6.78 | valid ppl   878.50 | learning rate 0.0781
| end of split   1 /  3 | epoch  30 | time:  0.86s | valid loss  6.78 | valid ppl   878.62 | learning rate 0.0781
| end of split   2 /  3 | epoch  30 | time:  0.83s | valid loss  6.78 | valid ppl   879.91 | learning rate 0.0781
| end of split   3 /  3 | epoch  30 | time:  0.81s | valid loss  6.78 | valid ppl   881.21 | learning rate 0.0781
| end of split   1 /  3 | epoch  31 | time:  0.82s | valid loss  6.78 | valid ppl   882.00 | learning rate 0.0781
| end of split   2 /  3 | epoch  31 | time:  0.81s | valid loss  6.78 | valid ppl   881.85 | learning rate 0.0781
| end of split   3 /  3 | epoch  31 | time:  0.81s | valid loss  6.78 | valid ppl   882.83 | learning rate 0.0781
| end of split   1 /  3 | epoch  32 | time:  0.85s | valid loss  6.78 | valid ppl   882.93 | learning rate 0.0781
| end of split   2 /  3 | epoch  32 | time:  0.81s | valid loss  6.78 | valid ppl   883.18 | learning rate 0.0195
| end of split   3 /  3 | epoch  32 | time:  0.84s | valid loss  6.78 | valid ppl   883.59 | learning rate 0.0195
| end of split   1 /  3 | epoch  33 | time:  0.82s | valid loss  6.78 | valid ppl   883.78 | learning rate 0.0195
| end of split   2 /  3 | epoch  33 | time:  0.80s | valid loss  6.78 | valid ppl   883.95 | learning rate 0.0195
| end of split   3 /  3 | epoch  33 | time:  0.80s | valid loss  6.78 | valid ppl   884.29 | learning rate 0.0195
| end of split   1 /  3 | epoch  34 | time:  0.79s | valid loss  6.79 | valid ppl   884.66 | learning rate 0.0195
| end of split   2 /  3 | epoch  34 | time:  0.79s | valid loss  6.79 | valid ppl   884.63 | learning rate 0.0195
| end of split   3 /  3 | epoch  34 | time:  0.80s | valid loss  6.79 | valid ppl   884.69 | learning rate 0.0195
| end of split   1 /  3 | epoch  35 | time:  0.88s | valid loss  6.79 | valid ppl   884.86 | learning rate 0.0195
| end of split   2 /  3 | epoch  35 | time:  0.81s | valid loss  6.79 | valid ppl   885.14 | learning rate 0.0195
| end of split   3 /  3 | epoch  35 | time:  0.81s | valid loss  6.79 | valid ppl   885.31 | learning rate 0.0195
| end of split   1 /  3 | epoch  36 | time:  0.83s | valid loss  6.79 | valid ppl   885.31 | learning rate 0.0049
| end of split   2 /  3 | epoch  36 | time:  0.84s | valid loss  6.79 | valid ppl   885.34 | learning rate 0.0049
| end of split   3 /  3 | epoch  36 | time:  0.81s | valid loss  6.79 | valid ppl   885.41 | learning rate 0.0049
| end of split   1 /  3 | epoch  37 | time:  0.88s | valid loss  6.79 | valid ppl   885.42 | learning rate 0.0049
| end of split   2 /  3 | epoch  37 | time:  0.82s | valid loss  6.79 | valid ppl   885.53 | learning rate 0.0049
| end of split   3 /  3 | epoch  37 | time:  0.86s | valid loss  6.79 | valid ppl   885.57 | learning rate 0.0049
| end of split   1 /  3 | epoch  38 | time:  0.83s | valid loss  6.79 | valid ppl   885.63 | learning rate 0.0049
| end of split   2 /  3 | epoch  38 | time:  0.82s | valid loss  6.79 | valid ppl   885.71 | learning rate 0.0049
| end of split   3 /  3 | epoch  38 | time:  0.84s | valid loss  6.79 | valid ppl   885.78 | learning rate 0.0049
| end of split   1 /  3 | epoch  39 | time:  0.86s | valid loss  6.79 | valid ppl   885.89 | learning rate 0.0049
| end of split   2 /  3 | epoch  39 | time:  0.81s | valid loss  6.79 | valid ppl   885.96 | learning rate 0.0049
| end of split   3 /  3 | epoch  39 | time:  0.82s | valid loss  6.79 | valid ppl   885.98 | learning rate 0.0012
| end of split   1 /  3 | epoch  40 | time:  0.81s | valid loss  6.79 | valid ppl   886.01 | learning rate 0.0012
| end of split   2 /  3 | epoch  40 | time:  0.81s | valid loss  6.79 | valid ppl   886.03 | learning rate 0.0012
