EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
52	23:21:42	1	0.0125	0.07613204291605757	0.9979	0.9979	0.9979	0.9979	0.28217780590057373	0.9608	0.9608	0.9608	0.9608
53	23:21:56	2	0.0125	0.07835654981565181	0.9979	0.9979	0.9979	0.9979	0.27437302470207214	0.9629	0.9629	0.9629	0.9629
54	23:22:10	3	0.0125	0.07898819520114778	0.9979	0.9979	0.9979	0.9979	0.27000826597213745	0.9629	0.9629	0.9629	0.9629
55	23:22:24	0	0.0125	0.06757563349755952	0.9981	0.9981	0.9981	0.9981	0.2581648826599121	0.967	0.967	0.967	0.967
56	23:22:48	0	0.0125	0.06718455641881856	0.9979	0.9979	0.9979	0.9979	0.2694256007671356	0.9608	0.9608	0.9608	0.9608
57	23:23:06	0	0.0125	0.061922517386329194	0.9979	0.9979	0.9979	0.9979	0.27622145414352417	0.9629	0.9629	0.9629	0.9629
58	23:23:36	1	0.0125	0.07111202555920311	0.9984	0.9984	0.9984	0.9984	0.2729245126247406	0.9588	0.9588	0.9588	0.9588
59	23:23:50	2	0.0125	0.07119182800307453	0.9981	0.9981	0.9981	0.9981	0.28603678941726685	0.9588	0.9588	0.9588	0.9588
60	23:24:04	3	0.0125	0.07042457777909548	0.9981	0.9981	0.9981	0.9981	0.30703282356262207	0.9567	0.9567	0.9567	0.9567
61	23:24:18	4	0.0125	0.06899972317283279	0.9984	0.9984	0.9984	0.9984	0.28945010900497437	0.9608	0.9608	0.9608	0.9608
62	23:24:39	1	0.0063	0.06722928247691672	0.9981	0.9981	0.9981	0.9981	0.280693918466568	0.9608	0.9608	0.9608	0.9608
63	23:24:53	2	0.0063	0.07249550939341773	0.9981	0.9981	0.9981	0.9981	0.29123303294181824	0.9649	0.9649	0.9649	0.9649
64	23:25:07	3	0.0063	0.06496023011535731	0.9984	0.9984	0.9984	0.9984	0.2966591417789459	0.9588	0.9588	0.9588	0.9588
65	23:25:21	4	0.0063	0.06261550390047092	0.9984	0.9984	0.9984	0.9984	0.3066456615924835	0.9608	0.9608	0.9608	0.9608
66	23:25:42	1	0.0031	0.06980589073192016	0.9979	0.9979	0.9979	0.9979	0.28137773275375366	0.9629	0.9629	0.9629	0.9629
67	23:25:56	2	0.0031	0.07814081438242908	0.9981	0.9981	0.9981	0.9981	0.2856176197528839	0.9629	0.9629	0.9629	0.9629
68	23:26:10	3	0.0031	0.07174489596583689	0.9984	0.9984	0.9984	0.9984	0.28710365295410156	0.9649	0.9649	0.9649	0.9649
69	23:26:23	0	0.0031	0.06082660369981676	0.9981	0.9981	0.9981	0.9981	0.2836867570877075	0.9629	0.9629	0.9629	0.9629
70	23:26:41	1	0.0031	0.0637469443315344	0.9984	0.9984	0.9984	0.9984	0.2898109257221222	0.9649	0.9649	0.9649	0.9649
71	23:26:55	0	0.0031	0.05855947294447962	0.9984	0.9984	0.9984	0.9984	0.28321129083633423	0.9649	0.9649	0.9649	0.9649
72	23:27:11	1	0.0031	0.06906581072089907	0.9984	0.9984	0.9984	0.9984	0.2949974536895752	0.9608	0.9608	0.9608	0.9608
73	23:27:24	2	0.0031	0.06374289359195458	0.9984	0.9984	0.9984	0.9984	0.294647753238678	0.9629	0.9629	0.9629	0.9629
74	23:27:36	3	0.0031	0.06758521142931533	0.9984	0.9984	0.9984	0.9984	0.3042064905166626	0.9629	0.9629	0.9629	0.9629
75	23:27:50	4	0.0031	0.07071797362310829	0.9984	0.9984	0.9984	0.9984	0.29934144020080566	0.9608	0.9608	0.9608	0.9608
76	23:28:12	1	0.0016	0.05967047365004834	0.9984	0.9984	0.9984	0.9984	0.28518426418304443	0.9649	0.9649	0.9649	0.9649
77	23:28:26	2	0.0016	0.07400873842316326	0.9984	0.9984	0.9984	0.9984	0.2862807512283325	0.9629	0.9629	0.9629	0.9629
78	23:28:40	3	0.0016	0.07113124795813214	0.9984	0.9984	0.9984	0.9984	0.284730464220047	0.967	0.967	0.967	0.967
79	23:28:54	4	0.0016	0.06515444111473254	0.9984	0.9984	0.9984	0.9984	0.2818875312805176	0.9649	0.9649	0.9649	0.9649
80	23:29:15	0	0.0008	0.05174084370544752	0.9984	0.9984	0.9984	0.9984	0.2848138213157654	0.9649	0.9649	0.9649	0.9649
