TEST: valid loss  4.36 | valid ppl    78.56
TEST: valid loss  3.60 | valid ppl    36.43
TEST: valid loss  6.86 | valid ppl   953.06
| end of split   1 /  1 | epoch  57 | time:  0.92s | valid loss  1.98 | valid ppl     7.24 | learning rate 0.2500
| end of split   1 /  1 | epoch  58 | time:  0.88s | valid loss  1.98 | valid ppl     7.23 | learning rate 0.0625
| end of split   1 /  1 | epoch  59 | time:  0.88s | valid loss  1.98 | valid ppl     7.24 | learning rate 0.0625
| end of split   1 /  1 | epoch  60 | time:  1.05s | valid loss  1.98 | valid ppl     7.24 | learning rate 0.0625
| end of split   1 /  1 | epoch  61 | time:  0.90s | valid loss  1.98 | valid ppl     7.24 | learning rate 0.0625
| end of split   1 /  1 | epoch  62 | time:  0.89s | valid loss  1.98 | valid ppl     7.24 | learning rate 0.0625
| end of split   1 /  1 | epoch  63 | time:  1.03s | valid loss  1.98 | valid ppl     7.25 | learning rate 0.0625
| end of split   1 /  1 | epoch  64 | time:  1.11s | valid loss  1.98 | valid ppl     7.25 | learning rate 0.0625
| end of split   1 /  1 | epoch  65 | time:  0.99s | valid loss  1.98 | valid ppl     7.25 | learning rate 0.0625
| end of split   1 /  1 | epoch  66 | time:  0.93s | valid loss  1.98 | valid ppl     7.26 | learning rate 0.0625
| end of split   1 /  1 | epoch  67 | time:  1.38s | valid loss  1.98 | valid ppl     7.26 | learning rate 0.0625
| end of split   1 /  1 | epoch  68 | time:  0.95s | valid loss  1.98 | valid ppl     7.26 | learning rate 0.0625
| end of split   1 /  1 | epoch  69 | time:  0.97s | valid loss  1.98 | valid ppl     7.26 | learning rate 0.0156
| end of split   1 /  1 | epoch  70 | time:  1.01s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  71 | time:  1.02s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  72 | time:  0.89s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  73 | time:  1.10s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  74 | time:  0.95s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  75 | time:  0.87s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  76 | time:  1.03s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  77 | time:  0.97s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  78 | time:  1.03s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  79 | time:  1.00s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0156
| end of split   1 /  1 | epoch  80 | time:  1.01s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  81 | time:  0.99s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  82 | time:  0.94s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  83 | time:  0.92s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  84 | time:  0.93s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  85 | time:  0.94s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  86 | time:  0.96s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  87 | time:  1.15s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  88 | time:  0.98s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  89 | time:  1.14s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  90 | time:  1.15s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0039
| end of split   1 /  1 | epoch  91 | time:  0.91s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  92 | time:  0.91s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  93 | time:  0.90s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  94 | time:  0.93s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  95 | time:  0.92s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  96 | time:  0.94s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  97 | time:  0.94s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  98 | time:  1.15s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch  99 | time:  1.13s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch 100 | time:  1.14s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch 101 | time:  1.10s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0010
| end of split   1 /  1 | epoch 102 | time:  0.85s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 103 | time:  0.85s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 104 | time:  0.89s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 105 | time:  0.89s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 106 | time:  0.87s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 107 | time:  1.05s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 108 | time:  0.90s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 109 | time:  0.89s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 110 | time:  0.89s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 111 | time:  0.88s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 112 | time:  0.88s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0002
| end of split   1 /  1 | epoch 113 | time:  1.00s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 114 | time:  1.02s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 115 | time:  0.87s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 116 | time:  0.87s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 117 | time:  0.88s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 118 | time:  0.89s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 119 | time:  0.98s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
| end of split   1 /  1 | epoch 120 | time:  1.05s | valid loss  1.98 | valid ppl     7.27 | learning rate 0.0001
TEST: valid loss  2.07 | valid ppl     7.89
