| end of split   1 /  1 | epoch  63 | time:  0.94s | valid loss  2.11 | valid ppl     8.28 | learning rate 1.0000
| end of split   1 /  1 | epoch  64 | time:  0.96s | valid loss  2.11 | valid ppl     8.23 | learning rate 1.0000
| end of split   1 /  1 | epoch  65 | time:  0.94s | valid loss  2.10 | valid ppl     8.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  66 | time:  0.96s | valid loss  2.09 | valid ppl     8.12 | learning rate 1.0000
| end of split   1 /  1 | epoch  67 | time:  0.99s | valid loss  2.08 | valid ppl     8.01 | learning rate 1.0000
| end of split   1 /  1 | epoch  68 | time:  0.94s | valid loss  2.08 | valid ppl     8.01 | learning rate 1.0000
| end of split   1 /  1 | epoch  69 | time:  0.84s | valid loss  2.09 | valid ppl     8.08 | learning rate 1.0000
| end of split   1 /  1 | epoch  70 | time:  0.91s | valid loss  2.08 | valid ppl     7.98 | learning rate 1.0000
| end of split   1 /  1 | epoch  71 | time:  0.97s | valid loss  2.05 | valid ppl     7.78 | learning rate 1.0000
| end of split   1 /  1 | epoch  72 | time:  0.84s | valid loss  2.06 | valid ppl     7.81 | learning rate 1.0000
| end of split   1 /  1 | epoch  73 | time:  1.23s | valid loss  2.05 | valid ppl     7.76 | learning rate 1.0000
| end of split   1 /  1 | epoch  74 | time:  0.99s | valid loss  2.04 | valid ppl     7.68 | learning rate 1.0000
| end of split   1 /  1 | epoch  75 | time:  0.92s | valid loss  2.03 | valid ppl     7.62 | learning rate 1.0000
| end of split   1 /  1 | epoch  76 | time:  1.21s | valid loss  2.03 | valid ppl     7.60 | learning rate 1.0000
| end of split   1 /  1 | epoch  77 | time:  0.99s | valid loss  2.01 | valid ppl     7.46 | learning rate 1.0000
| end of split   1 /  1 | epoch  78 | time:  1.03s | valid loss  2.01 | valid ppl     7.43 | learning rate 1.0000
| end of split   1 /  1 | epoch  79 | time:  1.07s | valid loss  2.00 | valid ppl     7.37 | learning rate 1.0000
| end of split   1 /  1 | epoch  80 | time:  1.21s | valid loss  1.99 | valid ppl     7.32 | learning rate 1.0000
| end of split   1 /  1 | epoch  81 | time:  1.58s | valid loss  1.99 | valid ppl     7.29 | learning rate 1.0000
| end of split   1 /  1 | epoch  82 | time:  0.94s | valid loss  1.99 | valid ppl     7.32 | learning rate 1.0000
| end of split   1 /  1 | epoch  83 | time:  1.00s | valid loss  1.98 | valid ppl     7.22 | learning rate 1.0000
| end of split   1 /  1 | epoch  84 | time:  0.90s | valid loss  1.98 | valid ppl     7.25 | learning rate 1.0000
| end of split   1 /  1 | epoch  85 | time:  1.49s | valid loss  1.97 | valid ppl     7.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  86 | time:  1.25s | valid loss  1.96 | valid ppl     7.12 | learning rate 1.0000
| end of split   1 /  1 | epoch  87 | time:  0.95s | valid loss  1.97 | valid ppl     7.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  88 | time:  1.04s | valid loss  1.95 | valid ppl     7.06 | learning rate 1.0000
| end of split   1 /  1 | epoch  89 | time:  0.92s | valid loss  1.96 | valid ppl     7.10 | learning rate 1.0000
| end of split   1 /  1 | epoch  90 | time:  1.04s | valid loss  1.95 | valid ppl     7.02 | learning rate 1.0000
| end of split   1 /  1 | epoch  91 | time:  1.03s | valid loss  1.94 | valid ppl     6.95 | learning rate 1.0000
| end of split   1 /  1 | epoch  92 | time:  1.26s | valid loss  1.93 | valid ppl     6.89 | learning rate 1.0000
| end of split   1 /  1 | epoch  93 | time:  0.93s | valid loss  1.93 | valid ppl     6.91 | learning rate 1.0000
| end of split   1 /  1 | epoch  94 | time:  0.99s | valid loss  1.92 | valid ppl     6.82 | learning rate 1.0000
| end of split   1 /  1 | epoch  95 | time:  0.90s | valid loss  1.94 | valid ppl     6.93 | learning rate 1.0000
| end of split   1 /  1 | epoch  96 | time:  0.90s | valid loss  1.93 | valid ppl     6.90 | learning rate 1.0000
| end of split   1 /  1 | epoch  97 | time:  0.86s | valid loss  1.92 | valid ppl     6.82 | learning rate 1.0000
| end of split   1 /  1 | epoch  98 | time:  1.08s | valid loss  1.91 | valid ppl     6.73 | learning rate 1.0000
| end of split   1 /  1 | epoch  99 | time:  1.06s | valid loss  1.91 | valid ppl     6.73 | learning rate 1.0000
| end of split   1 /  1 | epoch 100 | time:  0.97s | valid loss  1.90 | valid ppl     6.71 | learning rate 1.0000
| end of split   1 /  1 | epoch 101 | time:  1.04s | valid loss  1.90 | valid ppl     6.67 | learning rate 1.0000
| end of split   1 /  1 | epoch 102 | time:  0.99s | valid loss  1.89 | valid ppl     6.65 | learning rate 1.0000
| end of split   1 /  1 | epoch 103 | time:  1.03s | valid loss  1.89 | valid ppl     6.63 | learning rate 1.0000
| end of split   1 /  1 | epoch 104 | time:  0.92s | valid loss  1.90 | valid ppl     6.65 | learning rate 1.0000
| end of split   1 /  1 | epoch 105 | time:  1.00s | valid loss  1.88 | valid ppl     6.58 | learning rate 1.0000
| end of split   1 /  1 | epoch 106 | time:  0.88s | valid loss  1.89 | valid ppl     6.59 | learning rate 1.0000
| end of split   1 /  1 | epoch 107 | time:  1.12s | valid loss  1.89 | valid ppl     6.62 | learning rate 1.0000
| end of split   1 /  1 | epoch 108 | time:  0.87s | valid loss  1.89 | valid ppl     6.59 | learning rate 1.0000
| end of split   1 /  1 | epoch 109 | time:  0.91s | valid loss  1.88 | valid ppl     6.58 | learning rate 1.0000
| end of split   1 /  1 | epoch 110 | time:  1.01s | valid loss  1.88 | valid ppl     6.55 | learning rate 1.0000
| end of split   1 /  1 | epoch 111 | time:  0.96s | valid loss  1.88 | valid ppl     6.57 | learning rate 1.0000
| end of split   1 /  1 | epoch 112 | time:  0.99s | valid loss  1.88 | valid ppl     6.53 | learning rate 1.0000
| end of split   1 /  1 | epoch 113 | time:  1.33s | valid loss  1.87 | valid ppl     6.47 | learning rate 1.0000
| end of split   1 /  1 | epoch 114 | time:  0.91s | valid loss  1.87 | valid ppl     6.48 | learning rate 1.0000
| end of split   1 /  1 | epoch 115 | time:  1.03s | valid loss  1.87 | valid ppl     6.47 | learning rate 1.0000
| end of split   1 /  1 | epoch 116 | time:  1.09s | valid loss  1.86 | valid ppl     6.42 | learning rate 1.0000
| end of split   1 /  1 | epoch 117 | time:  0.95s | valid loss  1.86 | valid ppl     6.42 | learning rate 1.0000
| end of split   1 /  1 | epoch 118 | time:  0.93s | valid loss  1.87 | valid ppl     6.50 | learning rate 1.0000
| end of split   1 /  1 | epoch 119 | time:  0.88s | valid loss  1.87 | valid ppl     6.50 | learning rate 1.0000
| end of split   1 /  1 | epoch 120 | time:  0.88s | valid loss  1.86 | valid ppl     6.42 | learning rate 1.0000
TEST: valid loss  1.87 | valid ppl     6.48
TEST: valid loss  3.77 | valid ppl    43.51
| end of split   1 /  3 | epoch   1 | time:  0.69s | valid loss  2.41 | valid ppl    11.09 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  0.51s | valid loss  2.67 | valid ppl    14.40 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  0.59s | valid loss  2.10 | valid ppl     8.13 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  0.53s | valid loss  2.22 | valid ppl     9.18 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  0.53s | valid loss  2.23 | valid ppl     9.32 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  0.51s | valid loss  2.17 | valid ppl     8.75 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  0.62s | valid loss  2.09 | valid ppl     8.09 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  0.62s | valid loss  2.01 | valid ppl     7.44 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  0.51s | valid loss  2.10 | valid ppl     8.14 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  0.53s | valid loss  2.25 | valid ppl     9.50 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  0.61s | valid loss  1.94 | valid ppl     6.96 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  0.52s | valid loss  2.12 | valid ppl     8.35 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  0.52s | valid loss  2.08 | valid ppl     7.98 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  0.52s | valid loss  2.07 | valid ppl     7.93 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  0.64s | valid loss  1.92 | valid ppl     6.79 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  0.53s | valid loss  1.97 | valid ppl     7.17 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  0.51s | valid loss  1.96 | valid ppl     7.08 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  0.62s | valid loss  1.90 | valid ppl     6.67 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  0.54s | valid loss  2.03 | valid ppl     7.60 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  0.52s | valid loss  1.92 | valid ppl     6.83 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  0.52s | valid loss  1.96 | valid ppl     7.13 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  0.53s | valid loss  1.96 | valid ppl     7.07 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  0.53s | valid loss  1.97 | valid ppl     7.16 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  0.54s | valid loss  2.01 | valid ppl     7.46 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  0.54s | valid loss  1.93 | valid ppl     6.88 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  0.54s | valid loss  2.05 | valid ppl     7.80 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  0.52s | valid loss  2.02 | valid ppl     7.57 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  0.54s | valid loss  1.90 | valid ppl     6.72 | learning rate 20.0000
| end of split   2 /  3 | epoch  10 | time:  0.52s | valid loss  1.97 | valid ppl     7.16 | learning rate 20.0000
| end of split   3 /  3 | epoch  10 | time:  0.64s | valid loss  1.79 | valid ppl     6.00 | learning rate 5.0000
| end of split   1 /  3 | epoch  11 | time:  0.55s | valid loss  1.84 | valid ppl     6.30 | learning rate 5.0000
| end of split   2 /  3 | epoch  11 | time:  0.66s | valid loss  1.74 | valid ppl     5.70 | learning rate 5.0000
| end of split   3 /  3 | epoch  11 | time:  0.60s | valid loss  1.67 | valid ppl     5.32 | learning rate 5.0000
| end of split   1 /  3 | epoch  12 | time:  0.53s | valid loss  1.72 | valid ppl     5.60 | learning rate 5.0000
| end of split   2 /  3 | epoch  12 | time:  0.51s | valid loss  1.71 | valid ppl     5.54 | learning rate 5.0000
| end of split   3 /  3 | epoch  12 | time:  0.52s | valid loss  1.73 | valid ppl     5.64 | learning rate 5.0000
| end of split   1 /  3 | epoch  13 | time:  0.55s | valid loss  1.78 | valid ppl     5.95 | learning rate 5.0000
| end of split   2 /  3 | epoch  13 | time:  0.51s | valid loss  1.70 | valid ppl     5.46 | learning rate 5.0000
| end of split   3 /  3 | epoch  13 | time:  0.54s | valid loss  1.68 | valid ppl     5.34 | learning rate 5.0000
| end of split   1 /  3 | epoch  14 | time:  0.53s | valid loss  1.73 | valid ppl     5.62 | learning rate 5.0000
| end of split   2 /  3 | epoch  14 | time:  0.52s | valid loss  1.68 | valid ppl     5.38 | learning rate 5.0000
| end of split   3 /  3 | epoch  14 | time:  0.51s | valid loss  1.69 | valid ppl     5.39 | learning rate 5.0000
| end of split   1 /  3 | epoch  15 | time:  0.59s | valid loss  1.67 | valid ppl     5.34 | learning rate 5.0000
| end of split   2 /  3 | epoch  15 | time:  0.54s | valid loss  1.70 | valid ppl     5.45 | learning rate 5.0000
| end of split   3 /  3 | epoch  15 | time:  0.65s | valid loss  1.63 | valid ppl     5.10 | learning rate 1.2500
| end of split   1 /  3 | epoch  16 | time:  0.54s | valid loss  1.66 | valid ppl     5.27 | learning rate 1.2500
| end of split   2 /  3 | epoch  16 | time:  0.58s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   3 /  3 | epoch  16 | time:  0.71s | valid loss  1.62 | valid ppl     5.05 | learning rate 1.2500
| end of split   1 /  3 | epoch  17 | time:  0.52s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   2 /  3 | epoch  17 | time:  0.53s | valid loss  1.64 | valid ppl     5.15 | learning rate 1.2500
| end of split   3 /  3 | epoch  17 | time:  0.53s | valid loss  1.63 | valid ppl     5.10 | learning rate 1.2500
| end of split   1 /  3 | epoch  18 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 1.2500
| end of split   2 /  3 | epoch  18 | time:  0.52s | valid loss  1.63 | valid ppl     5.08 | learning rate 1.2500
| end of split   3 /  3 | epoch  18 | time:  0.53s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   1 /  3 | epoch  19 | time:  0.59s | valid loss  1.62 | valid ppl     5.05 | learning rate 1.2500
| end of split   2 /  3 | epoch  19 | time:  0.53s | valid loss  1.64 | valid ppl     5.14 | learning rate 1.2500
| end of split   3 /  3 | epoch  19 | time:  0.58s | valid loss  1.62 | valid ppl     5.05 | learning rate 1.2500
| end of split   1 /  3 | epoch  20 | time:  0.54s | valid loss  1.63 | valid ppl     5.08 | learning rate 1.2500
| end of split   2 /  3 | epoch  20 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 1.2500
| end of split   3 /  3 | epoch  20 | time:  0.52s | valid loss  1.62 | valid ppl     5.06 | learning rate 1.2500
| end of split   1 /  3 | epoch  21 | time:  0.54s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   2 /  3 | epoch  21 | time:  0.53s | valid loss  1.63 | valid ppl     5.08 | learning rate 1.2500
| end of split   3 /  3 | epoch  21 | time:  0.54s | valid loss  1.64 | valid ppl     5.15 | learning rate 1.2500
| end of split   1 /  3 | epoch  22 | time:  0.54s | valid loss  1.63 | valid ppl     5.08 | learning rate 1.2500
| end of split   2 /  3 | epoch  22 | time:  0.54s | valid loss  1.65 | valid ppl     5.22 | learning rate 1.2500
| end of split   3 /  3 | epoch  22 | time:  0.53s | valid loss  1.62 | valid ppl     5.06 | learning rate 1.2500
| end of split   1 /  3 | epoch  23 | time:  0.52s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.3125
| end of split   2 /  3 | epoch  23 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.3125
| end of split   3 /  3 | epoch  23 | time:  0.53s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.3125
| end of split   1 /  3 | epoch  24 | time:  0.67s | valid loss  1.62 | valid ppl     5.05 | learning rate 0.3125
