| end of split   4 /  4 | epoch  38 | time:  0.97s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   1 /  4 | epoch  39 | time:  0.98s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   2 /  4 | epoch  39 | time:  0.89s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0049
| end of split   3 /  4 | epoch  39 | time:  1.01s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   4 /  4 | epoch  39 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   1 /  4 | epoch  40 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   2 /  4 | epoch  40 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   3 /  4 | epoch  40 | time:  0.89s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   4 /  4 | epoch  40 | time:  0.79s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   1 /  4 | epoch  41 | time:  1.08s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   2 /  4 | epoch  41 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   3 /  4 | epoch  41 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   4 /  4 | epoch  41 | time:  0.95s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   1 /  4 | epoch  42 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0012
| end of split   2 /  4 | epoch  42 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   3 /  4 | epoch  42 | time:  0.91s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   4 /  4 | epoch  42 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   1 /  4 | epoch  43 | time:  0.91s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   2 /  4 | epoch  43 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   3 /  4 | epoch  43 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   4 /  4 | epoch  43 | time:  0.96s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   1 /  4 | epoch  44 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   2 /  4 | epoch  44 | time:  0.82s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   3 /  4 | epoch  44 | time:  1.02s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   4 /  4 | epoch  44 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0003
| end of split   1 /  4 | epoch  45 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   2 /  4 | epoch  45 | time:  0.97s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   3 /  4 | epoch  45 | time:  0.88s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   4 /  4 | epoch  45 | time:  1.00s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   1 /  4 | epoch  46 | time:  0.86s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   2 /  4 | epoch  46 | time:  0.95s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   3 /  4 | epoch  46 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   4 /  4 | epoch  46 | time:  0.91s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   1 /  4 | epoch  47 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   2 /  4 | epoch  47 | time:  0.87s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   3 /  4 | epoch  47 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0001
| end of split   4 /  4 | epoch  47 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  48 | time:  1.04s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  48 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  48 | time:  1.12s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  48 | time:  1.03s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  49 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  49 | time:  0.96s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  49 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  49 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  50 | time:  0.87s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  50 | time:  1.06s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  50 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  50 | time:  0.88s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  51 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  51 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  51 | time:  0.94s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  51 | time:  0.92s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  52 | time:  0.78s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  52 | time:  0.87s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  52 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  52 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  53 | time:  0.86s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
