EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
42	09:19:00	2	0.5000	0.5159844261638667	0.917	0.917	0.917	0.917	0.8449077606201172	0.7877	0.7877	0.7877	0.7877	0.26871490478515625	0.8937	0.8937	0.8937	0.8937
43	09:19:05	3	0.5000	0.5436371336222238	0.9158	0.9158	0.9158	0.9158	0.7641327381134033	0.7897	0.7897	0.7897	0.7897	0.2833596169948578	0.9067	0.9067	0.9067	0.9067
44	09:19:09	4	0.5000	0.5143672030716117	0.9267	0.9267	0.9267	0.9267	0.7926238775253296	0.7817	0.7817	0.7817	0.7817	0.25166621804237366	0.8959	0.8959	0.8959	0.8959
45	09:19:13	1	0.2500	0.45394351064208427	0.9351	0.9351	0.9351	0.9351	0.7842165231704712	0.7937	0.7937	0.7937	0.7937	0.21576298773288727	0.9262	0.9262	0.9262	0.9262
46	09:19:16	0	0.2500	0.4635160754644789	0.9371	0.9371	0.9371	0.9371	0.7551741003990173	0.8234	0.8234	0.8234	0.8234	0.22217485308647156	0.9241	0.9241	0.9241	0.9241
47	09:19:35	1	0.2500	0.4489709111172409	0.942	0.942	0.942	0.942	0.7700713872909546	0.8155	0.8155	0.8155	0.8155	0.18787667155265808	0.9371	0.9371	0.9371	0.9371
48	09:19:39	2	0.2500	0.43510953516514805	0.943	0.943	0.943	0.943	0.7658059597015381	0.8214	0.8214	0.8214	0.8214	0.19048966467380524	0.9306	0.9306	0.9306	0.9306
49	09:19:43	3	0.2500	0.3996426315133827	0.9458	0.9458	0.9458	0.9458	0.7915601134300232	0.8214	0.8214	0.8214	0.8214	0.18923600018024445	0.9306	0.9306	0.9306	0.9306
50	09:19:46	4	0.2500	0.38979403206862184	0.9483	0.9483	0.9483	0.9483	0.7740070819854736	0.8115	0.8115	0.8115	0.8115	0.19205592572689056	0.9306	0.9306	0.9306	0.9306
51	09:19:50	1	0.1250	0.39458666825348804	0.9524	0.9524	0.9524	0.9524	0.7930689454078674	0.8175	0.8175	0.8175	0.8175	0.1684226095676422	0.9436	0.9436	0.9436	0.9436
52	09:19:54	2	0.1250	0.37979171857203875	0.955	0.955	0.955	0.955	0.801723837852478	0.8135	0.8135	0.8135	0.8135	0.15768836438655853	0.9458	0.9458	0.9458	0.9458
53	09:19:57	3	0.1250	0.38544187784738043	0.9532	0.9532	0.9532	0.9532	0.7822221517562866	0.8214	0.8214	0.8214	0.8214	0.16355448961257935	0.9414	0.9414	0.9414	0.9414
54	09:20:01	4	0.1250	0.38905207258150626	0.9555	0.9555	0.9555	0.9555	0.7848728895187378	0.8175	0.8175	0.8175	0.8175	0.1521991789340973	0.9458	0.9458	0.9458	0.9458
55	09:20:05	1	0.0625	0.375710287941344	0.955	0.955	0.955	0.955	0.7770251631736755	0.8115	0.8115	0.8115	0.8115	0.15662282705307007	0.9436	0.9436	0.9436	0.9436
56	09:20:08	0	0.0625	0.3777603462236617	0.9555	0.9555	0.9555	0.9555	0.8063378930091858	0.8274	0.8274	0.8274	0.8274	0.1369471400976181	0.961	0.961	0.961	0.961
57	09:20:20	1	0.0625	0.3571614397957005	0.958	0.958	0.958	0.958	0.7804252505302429	0.8194	0.8194	0.8194	0.8194	0.14569661021232605	0.9479	0.9479	0.9479	0.9479
58	09:20:23	2	0.0625	0.37399001414792143	0.9595	0.9595	0.9595	0.9595	0.7882325053215027	0.8214	0.8214	0.8214	0.8214	0.14780424535274506	0.9436	0.9436	0.9436	0.9436
59	09:20:27	3	0.0625	0.36984415597416004	0.9605	0.9605	0.9605	0.9605	0.7715774178504944	0.8214	0.8214	0.8214	0.8214	0.14776518940925598	0.9436	0.9436	0.9436	0.9436
60	09:20:31	0	0.0625	0.3718532553566344	0.9616	0.9616	0.9616	0.9616	0.7704558968544006	0.8294	0.8294	0.8294	0.8294	0.1423424631357193	0.9501	0.9501	0.9501	0.9501
61	09:20:42	1	0.0625	0.3584042490479072	0.9605	0.9605	0.9605	0.9605	0.776300847530365	0.8234	0.8234	0.8234	0.8234	0.14402960240840912	0.9566	0.9566	0.9566	0.9566
62	09:20:45	2	0.0625	0.3572212792746298	0.9598	0.9598	0.9598	0.9598	0.7732206583023071	0.8194	0.8194	0.8194	0.8194	0.13647805154323578	0.9523	0.9523	0.9523	0.9523
63	09:20:49	3	0.0625	0.35709990412336273	0.9633	0.9633	0.9633	0.9633	0.7803594470024109	0.8155	0.8155	0.8155	0.8155	0.13430555164813995	0.9566	0.9566	0.9566	0.9566
64	09:20:52	4	0.0625	0.3539664509627705	0.9613	0.9613	0.9613	0.9613	0.7697485685348511	0.8194	0.8194	0.8194	0.8194	0.14716874063014984	0.9566	0.9566	0.9566	0.9566
65	09:20:55	1	0.0312	0.3515060529078872	0.9641	0.9641	0.9641	0.9641	0.7665749788284302	0.8194	0.8194	0.8194	0.8194	0.13490013778209686	0.9566	0.9566	0.9566	0.9566
66	09:20:58	2	0.0312	0.3269725895145216	0.9639	0.9639	0.9639	0.9639	0.7669638395309448	0.8194	0.8194	0.8194	0.8194	0.12894782423973083	0.9566	0.9566	0.9566	0.9566
67	09:21:01	3	0.0312	0.34556314733414006	0.9633	0.9633	0.9633	0.9633	0.7648378610610962	0.8214	0.8214	0.8214	0.8214	0.12408169358968735	0.9566	0.9566	0.9566	0.9566
68	09:21:04	4	0.0312	0.3444849800683371	0.9644	0.9644	0.9644	0.9644	0.7628301382064819	0.8234	0.8234	0.8234	0.8234	0.127751886844635	0.961	0.961	0.961	0.961
69	09:21:07	1	0.0156	0.3313672041838696	0.9649	0.9649	0.9649	0.9649	0.7621805667877197	0.8234	0.8234	0.8234	0.8234	0.12771031260490417	0.9588	0.9588	0.9588	0.9588
70	09:21:10	2	0.0156	0.3427742994999288	0.9651	0.9651	0.9651	0.9651	0.76460862159729	0.8254	0.8254	0.8254	0.8254	0.12550364434719086	0.961	0.961	0.961	0.961
71	09:21:13	3	0.0156	0.31755065222807516	0.9649	0.9649	0.9649	0.9649	0.7690152525901794	0.8274	0.8274	0.8274	0.8274	0.12765879929065704	0.961	0.961	0.961	0.961
72	09:21:16	4	0.0156	0.3334790483965689	0.9656	0.9656	0.9656	0.9656	0.7741312384605408	0.8234	0.8234	0.8234	0.8234	0.12262744456529617	0.9588	0.9588	0.9588	0.9588
73	09:21:20	1	0.0078	0.311008545478004	0.9654	0.9654	0.9654	0.9654	0.7760578393936157	0.8234	0.8234	0.8234	0.8234	0.12118285149335861	0.9588	0.9588	0.9588	0.9588
74	09:21:23	2	0.0078	0.3263143552462984	0.9651	0.9651	0.9651	0.9651	0.7768516540527344	0.8234	0.8234	0.8234	0.8234	0.12103443592786789	0.961	0.961	0.961	0.961
75	09:21:26	3	0.0078	0.33852650288297265	0.9659	0.9659	0.9659	0.9659	0.7746577858924866	0.8254	0.8254	0.8254	0.8254	0.12137866765260696	0.9588	0.9588	0.9588	0.9588
76	09:21:29	4	0.0078	0.3153316975726082	0.9656	0.9656	0.9656	0.9656	0.7752557396888733	0.8254	0.8254	0.8254	0.8254	0.12123952060937881	0.9588	0.9588	0.9588	0.9588
77	09:21:32	1	0.0039	0.3403398170558087	0.9659	0.9659	0.9659	0.9659	0.7752172350883484	0.8274	0.8274	0.8274	0.8274	0.12171231210231781	0.9588	0.9588	0.9588	0.9588
