| end of split   1 /  3 | epoch  29 | time:  1.99s | valid loss  1.83 | valid ppl     6.24 | learning rate 0.3125
| end of split   2 /  3 | epoch  29 | time:  2.15s | valid loss  1.84 | valid ppl     6.27 | learning rate 0.3125
| end of split   3 /  3 | epoch  29 | time:  2.76s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   1 /  3 | epoch  30 | time:  2.26s | valid loss  1.84 | valid ppl     6.27 | learning rate 0.0781
| end of split   2 /  3 | epoch  30 | time:  2.07s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   3 /  3 | epoch  30 | time:  2.18s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   1 /  3 | epoch  31 | time:  2.07s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   2 /  3 | epoch  31 | time:  2.18s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0781
| end of split   3 /  3 | epoch  31 | time:  2.27s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   1 /  3 | epoch  32 | time:  2.20s | valid loss  1.84 | valid ppl     6.27 | learning rate 0.0781
| end of split   2 /  3 | epoch  32 | time:  2.11s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   3 /  3 | epoch  32 | time:  2.08s | valid loss  1.83 | valid ppl     6.26 | learning rate 0.0781
| end of split   1 /  3 | epoch  33 | time:  2.27s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0781
| end of split   2 /  3 | epoch  33 | time:  2.18s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   3 /  3 | epoch  33 | time:  2.25s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   1 /  3 | epoch  34 | time:  2.04s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   2 /  3 | epoch  34 | time:  2.21s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   3 /  3 | epoch  34 | time:  2.22s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   1 /  3 | epoch  35 | time:  2.15s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   2 /  3 | epoch  35 | time:  1.99s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   3 /  3 | epoch  35 | time:  2.18s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   1 /  3 | epoch  36 | time:  2.00s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   2 /  3 | epoch  36 | time:  2.11s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   3 /  3 | epoch  36 | time:  2.23s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0195
| end of split   1 /  3 | epoch  37 | time:  2.14s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   2 /  3 | epoch  37 | time:  2.18s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   3 /  3 | epoch  37 | time:  2.12s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   1 /  3 | epoch  38 | time:  2.24s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   2 /  3 | epoch  38 | time:  2.04s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   3 /  3 | epoch  38 | time:  2.15s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   1 /  3 | epoch  39 | time:  2.17s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   2 /  3 | epoch  39 | time:  2.28s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   3 /  3 | epoch  39 | time:  2.00s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   1 /  3 | epoch  40 | time:  2.01s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   2 /  3 | epoch  40 | time:  2.21s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0049
| end of split   3 /  3 | epoch  40 | time:  2.14s | valid loss  1.83 | valid ppl     6.25 | learning rate 0.0012
TEST: valid loss  1.85 | valid ppl     6.37
