EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
17	21:36:47	0	0.5000	0.7909574288553749	0.8393	0.8393	0.8393	0.8393	0.8985717296600342	0.7179	0.7179	0.7179	0.7179
18	21:36:52	0	0.5000	0.7852352104600285	0.8515	0.8515	0.8515	0.8515	0.78831946849823	0.6923	0.6923	0.6923	0.6923
19	21:36:58	0	0.5000	0.6741593406271159	0.8944	0.8944	0.8944	0.8944	0.781680703163147	0.7641	0.7641	0.7641	0.7641
20	21:37:04	0	0.5000	0.6514286251490373	0.8854	0.8854	0.8854	0.8854	0.7107587456703186	0.7487	0.7487	0.7487	0.7487
21	21:37:10	0	0.5000	0.6322447982982144	0.8987	0.8987	0.8987	0.8987	0.7068316340446472	0.7692	0.7692	0.7692	0.7692
22	21:37:15	0	0.5000	0.6092324169300886	0.9008	0.9008	0.9008	0.9008	0.937079131603241	0.7487	0.7487	0.7487	0.7487
23	21:37:20	0	0.5000	0.5961009747455326	0.922	0.922	0.922	0.922	0.6456534266471863	0.8	0.8	0.8	0.8
24	21:37:25	0	0.5000	0.5548560582294365	0.9252	0.9252	0.9252	0.9252	0.7712681293487549	0.7795	0.7795	0.7795	0.7795
25	21:37:29	1	0.5000	0.5613486118828751	0.8854	0.8854	0.8854	0.8854	0.8388575315475464	0.759	0.759	0.759	0.759
26	21:37:31	0	0.5000	0.5385930496625501	0.9231	0.9231	0.9231	0.9231	0.6325309872627258	0.8256	0.8256	0.8256	0.8256
27	21:37:36	0	0.5000	0.5159661557614887	0.9438	0.9438	0.9438	0.9438	0.6446326971054077	0.8359	0.8359	0.8359	0.8359
28	21:37:41	0	0.5000	0.4930928356513851	0.9358	0.9358	0.9358	0.9358	0.6924020648002625	0.8205	0.8205	0.8205	0.8205
29	21:37:47	0	0.5000	0.48847287969099595	0.9379	0.9379	0.9379	0.9379	0.7170714139938354	0.8205	0.8205	0.8205	0.8205
30	21:37:52	0	0.5000	0.4870797946550798	0.9416	0.9416	0.9416	0.9416	0.7371855974197388	0.8256	0.8256	0.8256	0.8256
31	21:37:57	0	0.5000	0.4641250703787388	0.9034	0.9034	0.9034	0.9034	0.8002986311912537	0.7692	0.7692	0.7692	0.7692
32	21:38:03	1	0.5000	0.5001469242421176	0.9507	0.9507	0.9507	0.9507	0.6208853125572205	0.8308	0.8308	0.8308	0.8308
33	21:38:04	0	0.5000	0.4427227464083844	0.9586	0.9586	0.9586	0.9586	0.6780887246131897	0.8256	0.8256	0.8256	0.8256
34	21:38:12	1	0.5000	0.4504565734432039	0.9538	0.9538	0.9538	0.9538	0.631546139717102	0.8359	0.8359	0.8359	0.8359
35	21:38:13	2	0.5000	0.44610559766268987	0.966	0.966	0.966	0.966	0.5335267186164856	0.841	0.841	0.841	0.841
36	21:38:14	0	0.5000	0.4274331666476537	0.9538	0.9538	0.9538	0.9538	0.7050647735595703	0.8308	0.8308	0.8308	0.8308
37	21:38:20	0	0.5000	0.4114766850878032	0.9613	0.9613	0.9613	0.9613	0.6613773107528687	0.8308	0.8308	0.8308	0.8308
